Batch,Path,Status,Change,Purpose,Class,Security,Risk,Carry,Evidence
1,frontend/src/components/Desktop/hooks/useTauriApi.ts,M,Updated fallback API port to 8010,Port consistency fix,CONFIG,NETWORK,LOW: Port number change,YES,DESKTOP_API_FALLBACK = 8010
1,frontend/src/components/Layout.tsx,M,Removed overflow-hidden from main container,Layout adjustment,UI,NONE,LOW: CSS change,YES,overflow-hidden removed from main
1,frontend/src/components/SetupScreen.tsx,M,Simplified to single server_ready step,Removed ollama/model steps for remote mode,FEATURE,NETWORK,MEDIUM: Setup flow change,YES,"STEPS array, activeStep logic"
1,frontend/src/components/Sidebar/Sidebar.tsx,M,Removed deepResearch from model display,Clean up model selector,REFACTOR,NONE,LOW: UI simplification,YES,Removed deepResearch conditional
1,frontend/src/components/ThinkingCircle.tsx,A,Animated thinking indicator component,Visual feedback for processing,UI,NONE,LOW: New UI component,YES,"CSS animations, variant colors"
1,frontend/src/hooks/useSpeechStream.ts,A,WebSocket speech streaming hook,Real-time STT via WebSocket,FEATURE,"NETWORK,TOOL-EXECUTION",HIGH: New speech architecture,YES,"WebSocket, AudioWorklet, bargeIn"
1,frontend/src/index.css,M,Replaced research animations with Jarvis HUD,New animation system for thinking circle,UI,NONE,LOW: Animation replacement,YES,"jarvis-pulse, jarvis-spin-* keyframes"
1,frontend/src/lib/api.ts,M,"Major refactor: auth headers, TTS synthesis, confirmTool","Centralized auth, new TTS/confirm APIs",FEATURE,"AUTH,SECRETS,EXTERNAL-API",HIGH: API layer overhaul,YES,"getAuthHeaders, apiFetch, synthesizeSpeech, confirmTool"
1,frontend/src/lib/api.ts.broken_backup,A,Broken backup of old api.ts,Backup artifact,UNCLEAR,NONE,LOW: Corrupted backup,NO,Incomplete TypeScript file
1,frontend/src/lib/audioOutput.ts,A,Audio output device selection and persistence,Explicit sink selection for TTS,FEATURE,TOOL-EXECUTION,MEDIUM: New audio routing,YES,"setSinkId, enumerateDevices, saveSinkId"
1,frontend/src/lib/fix-tts-endpoint.ps1,A,PowerShell to fix Kokoro endpoint,Script to update speech route,CONFIG,EXTERNAL-API,LOW: Deployment script,NO,Replaces /synthesize with /synthesize-stream
1,frontend/src/lib/sse.ts,M,"Added auth headers, timeout, research agent_id","Auth integration, streaming improvements",FEATURE,"AUTH,NETWORK",MEDIUM: SSE auth and timeout,YES,"getAuthHeaders, AbortSignal.timeout"
1,frontend/src/lib/store.ts,M,"Removed deepResearch, liveEnergy, research fields",Simplified state for remote mode,REFACTOR,NONE,MEDIUM: State reduction,YES,"Removed deepResearch, liveEnergy, researchTraces"
1,frontend/src/lib/useAgentEvents.ts,M,Added subscribeAll for unfiltered events,Support confirmation events without agent filter,FEATURE,CONFIRMATION-GATE,MEDIUM: Event subscription change,YES,"subscribeAll parameter, buildWsUrl"
1,frontend/src/main.tsx,M,Removed analytics initialization,Removed PostHog analytics,SECURITY-FIX,NONE,LOW: Telemetry removal,YES,Removed initAnalytics call
1,frontend/src/pages/AgentsPage.tsx,M,Fixed tool call argument display,Handle object arguments in tool calls,BUGFIX,NONE,LOW: Display fix,YES,JSON.stringify for tool arguments
1,frontend/src/pages/ChatPage.tsx,M,Simplified to just ChatArea + SystemPanel,Removed extra imports,REFACTOR,NONE,LOW: Component simplification,YES,Removed unused imports
1,frontend/src/pages/DataSourcesPage.tsx,M,"Major simplification: removed gmail merge, sync details",Streamlined data source management,REFACTOR,NETWORK,MEDIUM: Feature removal,YES,"Removed GmailOAuthAdvanced, formatTimeAgo, metaFor"
2,frontend/src/pages/SettingsPage.tsx,M,"Added audio output device selection UI with real-time sink detection, removed Ollama model list and speech backend status, reorganized sections",PURPOSE: Replace static Ollama model list with dynamic audio device picker that works without app restart; add live capability probe for setSinkId/enumerateDevices,CLASS: FEATURE,SECURITY: NONE,"RISK: LOW: UI-only change, no backend impact",CARRY: YES,"EVIDENCE: probeAudio, handleSinkChange, setOutputDevice, AudioOutputDevice type"
2,frontend/src/types/connectors.ts,M,Simplified SyncStatus by removing new_items_synced and oldest_item_date fields; updated Gmail connector setup steps with explicit 2FA and app password URLs,PURPOSE: Streamline sync status payload; improve Gmail IMAP setup instructions with direct links to Google security pages,CLASS: REFACTOR,SECURITY: NONE,RISK: LOW: Type definition changes only,CARRY: YES,"EVIDENCE: SyncStatus interface, SOURCE_CATALOG gmail_imap steps"
2,frontend/src/types/index.ts,M,"Removed ResearchSource, TimeRange, ResearchSearchTrace, ResearchEvent, LiveEnergyMetrics; added revised ResearchSource, TimeRange, ResearchSearchTrace with cited field and timestamp; added attachments to ChatMessage",PURPOSE: Redesign research-related types for new implementation; support file attachments in chat messages,CLASS: REFACTOR,SECURITY: NONE,RISK: LOW: Type definitions only,CARRY: YES,"EVIDENCE: ResearchSource, TimeRange, ResearchSearchTrace, ChatMessage.attachments"
2,frontend/update-verify.ps1,A,"PowerShell script to patch InputArea.tsx with agent field mapping (key->id, class->name, accepts_tools->acceptsTools) and verify via TypeScript compile",PURPOSE: Automate one-time frontend fix for agent registration field mapping mismatch,CLASS: INSTRUMENTATION,SECURITY: NONE,"RISK: LOW: Build-time script, not runtime",CARRY: NO,"EVIDENCE: setManagedAgents mapping, npx tsc verification"
2,frontend/vite.config.ts,M,Removed VitePWA plugin; changed proxy target from port 8000 to 8010; added sourcemap: true to build,PURPOSE: Disable PWA/offline support; align dev proxy with new server port 8010; enable sourcemaps for debugging,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Dev server config only,CARRY: YES,"EVIDENCE: proxy port 8010, sourcemap: true, VitePWA removed"
2,pyproject.toml,M,"Bumped version to 1.1.0; requires-python >=3.11; added kokoro, numpy, soundfile, nvidia-ml-py, croniter, pdfplumber, python-docx; updated speech extra with kokoro-onnx, ctranslate2, onnxruntime, av, sounddevice","PURPOSE: Update dependencies for TTS (Kokoro), document processing, GPU monitoring via nvidia-ml-py, Python 3.11+ requirement",CLASS: FEATURE,SECURITY: NONE,RISK: MEDIUM: New deps may have supply chain risk,CARRY: YES,"EVIDENCE: kokoro, nvidia-ml-py, soundfile, speech extra deps"
2,rust/rebuild-openjarvis.ps1,A,PowerShell script to build openjarvis-traces crate and write config.yaml disabling traces and strict skill parsing,PURPOSE: Post-build step for Rust traces crate; create default config with traces disabled,CLASS: PLATFORM-WINDOWS,SECURITY: NONE,RISK: LOW: Build script only,CARRY: NO,"EVIDENCE: cargo build --release -p openjarvis-traces, config.yaml generation"
2,scripts/bump-desktop-version.sh,M,File mode changed from 100755 to 100644 (executable bit removed),PURPOSE: Remove executable permission from version bump script,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/bg-orchestrator.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/build-extension.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/install-rust.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/install.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/jarvis-uninstall.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/jarvis-wrapper.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/install/pull-model.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,scripts/quickstart.sh,M,Removed local Ollama install/start/pull; added remote OLLAMA_HOST (default 172.16.33.200:11434) and MODEL env vars; export runtime env for backend,PURPOSE: Switch from local Ollama to remote Ollama-compatible host; simplify quickstart for lab environment,CLASS: CONFIG,SECURITY: NETWORK,RISK: MEDIUM: Hardcoded remote host IP,CARRY: REVIEW,"EVIDENCE: OLLAMA_HOST=172.16.33.200, MODEL=qwen3.5:9b, export OLLAMA_HOST"
2,scripts/smoke_framework_comparison.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,src/openjarvis/agents/hybrid/scripts/new_experiment.sh,M,File mode changed from 100755 to 100644,PURPOSE: Remove executable permission,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Permission change only,CARRY: YES,EVIDENCE: mode change 100755->100644
2,src/openjarvis/agents/morning_digest.py,M,"Fixed encoding issues (em dashes); load TTS config from config.toml (backend, voice, speed) with fallback to instance attributes",PURPOSE: Fix Unicode encoding in prompts; make TTS settings configurable via config.toml,CLASS: BUGFIX,SECURITY: NONE,RISK: LOW: Config-driven TTS params,CARRY: YES,"EVIDENCE: load_config, tts_cfg.backend/voice/speed, config.toml integration"
2,src/openjarvis/agents/native_openhands.py,M,"Added OpenHands XML tool call parsing, bare JSON tool call extraction, comprehensive agent logging (RUNSTART/TURN/RAWGEN/RUNEND) with contextvars for turn tracking",PURPOSE: Support qwen3-coder XML tool calls and qwen2.5-coder JSON-in-content tool calls; add structured agent execution logging,CLASS: FEATURE,SECURITY: TOOL-EXECUTION,RISK: MEDIUM: New parsing paths for tool calls,CARRY: YES,"EVIDENCE: _extract_json_tool_call, OpenHands XML parsing, _oj_agent_logger, CURRENT_TURN_ID"
2,src/openjarvis/cli/agent_cmd.py,M,"Fixed status_style default to ""default"" instead of empty string; added status_label variable for rich formatting",PURPOSE: Fix rich table rendering when agent status is unknown,CLASS: BUGFIX,SECURITY: NONE,RISK: LOW: CLI display fix,CARRY: YES,"EVIDENCE: status_style default, status_label formatting"
2,src/openjarvis/cli/ask.py,M,"Added TerminalConfirmGate class for interactive CLI confirmation (deny by default, requires y/yes, non-TTY denies, logs POLICY to dispatch.log and confirm_registry)",PURPOSE: Replace auto-approve lambda with real human confirmation gate for CLI tool execution,CLASS: SECURITY-FIX,"SECURITY: CONFIRMATION-GATE, TOOL-EXECUTION",RISK: HIGH: Changes tool approval flow for CLI,CARRY: YES,"EVIDENCE: TerminalConfirmGate, _log POLICY, confirm_registry.resolve, _stubs.CURRENT_CONFIRM_ID"
2,src/openjarvis/cli/log_config.py,M,Added OPENJARVIS_LOG_LEVEL env var support (default WARNING); falls back to WARNING if invalid,PURPOSE: Allow runtime log level control via environment variable,CLASS: CONFIG,SECURITY: NONE,RISK: LOW: Logging config only,CARRY: YES,"EVIDENCE: OPENJARVIS_LOG_LEVEL env var, logging.getLevelName"
2,src/openjarvis/cli/serve.py,M,Added WindowsSelectorEventLoopPolicy for Windows; file logging to rotating backend.log with TelemetryNoiseFilter dropping /v1/telemetry/* access logs; debug logging for tool registry; openjarvis-confirm-live-v1 gate for chat agent; bind assertion logging; uvicorn Config with log_config=None,PURPOSE: Fix Windows event loop blocking on console; reduce log volume; add interactive confirmation for server chat path; audit bind posture,CLASS: PLATFORM-WINDOWS,"SECURITY: NETWORK, CONFIRMATION-GATE","RISK: HIGH: Changes server logging, event loop, and tool confirmation",CARRY: YES,"EVIDENCE: WindowsSelectorEventLoopPolicy, _TelemetryNoiseFilter, _server_confirm_callback, BIND_ASSERT, record_bind"
2,src/openjarvis/connectors/imap_mail.py,A,"New provider-agnostic IMAP mail connector (Yahoo, Gmail, generic) with folder enumeration, size-aware summaries, UID-based move-to-trash/empty-folder (dry-run default), usage reports, find_messages, sync ingestion",PURPOSE: Replace read-only gmail_imap with full-featured IMAP connector supporting mutations and multi-folder access,CLASS: FEATURE,"SECURITY: NETWORK, FILESYSTEM-WRITE","RISK: HIGH: IMAP mutation capabilities (delete/move), network auth",CARRY: YES,"EVIDENCE: ImapMailConnector, move_to_trash, empty_folder, usage_report, _fetch_summaries, PROVIDERS dict"
2,src/openjarvis/core/config.py,M,"Changed model tier fallback from qwen3.5:27b to qwen3.5:9b; updated engine defaults (vllm, uzu, lemonade) from port 8000 to 8010; server port 8000->8010, default agent orchestrator->native_openhands; speech compute_type auto; config.toml template updated",PURPOSE: Align default ports to 8010; switch default agent; make speech compute_type hardware-auto; smaller fallback model,CLASS: CONFIG,SECURITY: NETWORK,RISK: MEDIUM: Port changes affect all deployments,CARRY: YES,"EVIDENCE: port 8010, native_openhands, compute_type=auto, _MODEL_TIER_FALLBACK"
2,src/openjarvis/core/confirm_registry.py,A,New thread-safe confirmation registry with register/wait/resolve/get/reap/pending_count/clear; write-once decisions (approved/denied/timeout); TTL via env var; threading.Event for cross-thread sync,"PURPOSE: Correlation store for interactive tool confirmation across CLI, server, and WS paths",CLASS: SECURITY-FIX,SECURITY: CONFIRMATION-GATE,RISK: HIGH: Core security infrastructure for tool approval,CARRY: YES,"EVIDENCE: register, wait, resolve, _Pending, APPROVED/DENIED/TIMEOUT, threading.Lock"
2,src/openjarvis/core/events.py,M,Added TOOL_CONFIRM_REQUEST and TOOL_CONFIRM_RESOLVED event types,PURPOSE: Event bus support for tool confirmation lifecycle,CLASS: FEATURE,SECURITY: CONFIRMATION-GATE,RISK: LOW: Event type definitions only,CARRY: YES,"EVIDENCE: EventType.TOOL_CONFIRM_REQUEST, EventType.TOOL_CONFIRM_RESOLVED"
2,src/openjarvis/engine/multi.py,M,Improved cloud model routing: explicit error when cloud model requested but no cloud engine; better error for local model not found; handle empty engine list,PURPOSE: Fix silent fallback to cloud engine; provide actionable errors for missing models/engines,CLASS: BUGFIX,SECURITY: NETWORK,RISK: MEDIUM: Changes model routing behavior,CARRY: YES,"EVIDENCE: _engine_for, _CLOUD_PREFIXES, ValueError messages"
2,src/openjarvis/engine/ollama.py,M,"Replaced hardcoded num_ctx=8192 with _oj_default_num_ctx() resolving from OPENJARVIS_NUM_CTX env, config.toml [engine] num_ctx, or 8192; added retry400 diagnostic logging for tool call 400 errors",PURPOSE: Make num_ctx configurable; diagnose 400 errors when tools cause model rejection,CLASS: CONFIG,SECURITY: NONE,"RISK: LOW: Configurable context window, diagnostic logging",CARRY: YES,"EVIDENCE: _oj_default_num_ctx, _oj_log_retry400, OPENJARVIS_NUM_CTX env"
2,src/openjarvis/server/agent_manager_routes.py,M,"Added memory_backend to _LightweightSystem; inject_context with KnowledgeStore for managed agent streams; toolkit binding enforcement (_allowed_tool_names); ConfirmPolicy for deep_research, iMessage, SendBlue; MCP tool discovery",PURPOSE: Wire memory into managed agents; enforce tool allowlist per agent; replace auto-approve with ConfirmPolicy; support MCP tools,CLASS: FEATURE,"SECURITY: TOOL-EXECUTION, CONFIRMATION-GATE",RISK: HIGH: Tool execution policy changes for managed agents,CARRY: YES,"EVIDENCE: _allowed_tool_names, ConfirmPolicy, inject_context, _make_lightweight_system memory_backend"
2,src/openjarvis/server/api_routes.py,M,"Added inject_context with KnowledgeStore to websocket_chat_stream; import Message, Role, ContextConfig",PURPOSE: Enable memory retrieval for WebSocket chat path,CLASS: FEATURE,SECURITY: NONE,RISK: LOW: Adds context injection to WS chat,CARRY: YES,"EVIDENCE: inject_context, KnowledgeStore, ContextConfig, websocket_chat_stream"
2,src/openjarvis/server/app.py,M,Added speech_router; disabled AuthMiddleware (if False); SPA catch-all returns 404 for /v1/* and /api/* paths,PURPOSE: Mount speech endpoints; disable API key auth for lab; prevent SPA from masking API 404s,CLASS: CONFIG,"SECURITY: AUTH, CORS-CSP","RISK: HIGH: Auth disabled, API route protection",CARRY: REVIEW,"EVIDENCE: speech_router, if False AuthMiddleware, SPA catch-all 404 check"
2,src/openjarvis/server/auth_middleware.py,M,Added bind_is_loopback() and record_bind() to track and expose bind posture; BIND-ASSERT logging,PURPOSE: Record runtime bind address for WS confirm_id redaction logic,CLASS: SECURITY-FIX,"SECURITY: NETWORK, CONFIRMATION-GATE",RISK: MEDIUM: Bind posture affects security decisions,CARRY: YES,"EVIDENCE: record_bind, bind_is_loopback, _BIND_IS_LOOPBACK, BIND-ASSERT log"
2,src/openjarvis/server/cloud_router.py,M,Added OpenRouter retry logic with 429 backoff (5/10/20s); added HTTP-Referer and X-Title headers; _ollama_host() now raises if OLLAMA_HOST not set; debug prints for model strings,PURPOSE: Handle OpenRouter rate limits; require explicit OLLAMA_HOST config; debug model routing,CLASS: FEATURE,"SECURITY: NETWORK, EXTERNAL-API","RISK: MEDIUM: Cloud API retry behavior, required env var",CARRY: YES,"EVIDENCE: _retry_delays, 429 handling, _ollama_host RuntimeError, debug prints"
2,src/openjarvis/server/connectors_router.py,M,Added Request import (unused in diff),PURPOSE: UNKNOWN,CLASS: UNCLEAR,SECURITY: NONE,RISK: LOW: Import only,CARRY: YES,EVIDENCE: from fastapi import Request
2,src/openjarvis/server/digest_routes.py,M,Fixed encoding; get_digest returns empty structure instead of 404 when no digest exists,PURPOSE: Graceful empty state for digest endpoint,CLASS: BUGFIX,SECURITY: NONE,RISK: LOW: API response shape change,CARRY: YES,"EVIDENCE: get_digest empty return, encoding fix"
2,src/openjarvis/server/middleware.py,M,"Updated Permissions-Policy to allow microphone=(self); expanded CSP with img-src, font-src, media-src directives",PURPOSE: Allow microphone access for webview; tighten CSP for media/font/image sources,CLASS: SECURITY-FIX,SECURITY: CORS-CSP,RISK: MEDIUM: CSP/Permissions-Policy changes,CARRY: YES,"EVIDENCE: microphone=(self), img-src data: blob:, font-src data:, media-src blob: data:"
2,src/openjarvis/server/models.py,M,Added optional agent field to ChatCompletionRequest,PURPOSE: Allow specifying agent in chat completion requests,CLASS: FEATURE,SECURITY: NONE,RISK: LOW: Request model extension,CARRY: YES,EVIDENCE: ChatCompletionRequest.agent field
2,src/openjarvis/server/routes.py,M,Added cloud model bypass for agent path (routes cloud models to _handle_stream); offloaded _handle_agent and _handle_direct to asyncio.to_thread to prevent event loop blocking,PURPOSE: Fix cloud model routing in agent path; prevent sync handlers from blocking event loop,CLASS: BUGFIX,SECURITY: NETWORK,"RISK: HIGH: Concurrency model change, cloud routing logic",CARRY: YES,"EVIDENCE: is_cloud_model check, asyncio.to_thread, _handle_stream bypass"
2,src/openjarvis/server/serve.py,A,Empty file (placeholder),PURPOSE: UNKNOWN,CLASS: UNCLEAR,SECURITY: NONE,RISK: LOW: Empty file,CARRY: YES,EVIDENCE: empty file
2,src/openjarvis/server/speech_router.py,A,"New speech router with /transcribe (faster-whisper), /synthesize (remote Kokoro on 172.16.33.201:8880), /health, and WebSocket /stream with Silero VAD + Whisper streaming",PURPOSE: Provide STT/TTS endpoints; remote Kokoro TTS; real-time streaming transcription,CLASS: FEATURE,"SECURITY: NETWORK, EXTERNAL-API, FILESYSTEM-WRITE","RISK: HIGH: Audio upload, remote TTS, WS streaming, debug file writes",CARRY: REVIEW,"EVIDENCE: transcribe, synthesize, speech_stream_ws, KOKORO_SERVER, _get_whisper, audio_debug dump"
2,src/openjarvis/server/stream_bridge.py,M,Disabled real LLM token streaming (if False) in AgentStreamBridge,PURPOSE: Temporarily disable engine.stream_full streaming path,CLASS: BUGFIX,SECURITY: NONE,RISK: LOW: Streaming behavior toggle,CARRY: YES,EVIDENCE: if False and engine.stream_full
2,src/openjarvis/server/upload_router.py,M,"Rewrote to use memory_backend from app.state; added zip extraction, image/video support with base64 encoding; removed KnowledgeStore direct usage","PURPOSE: Route uploads through shared memory backend; support archives, images, videos",CLASS: FEATURE,"SECURITY: FILESYSTEM-WRITE, NETWORK","RISK: HIGH: File upload processing, zip bomb protection, base64 storage",CARRY: YES,"EVIDENCE: _get_memory_backend, _extract_text_from_zip, _process_image, _process_video, base64 encoding"
2,src/openjarvis/server/ws_bridge.py,M,Added TOOL_CONFIRM events to _AGENT_EVENTS; WS auth via OPENJARVIS_WS_TOKEN; confirm_id redaction based on bind_is_loopback; detailed accept logging,PURPOSE: Stream tool confirmation events; secure WS with token; redact confirm_id on non-loopback binds,CLASS: SECURITY-FIX,"SECURITY: CONFIRMATION-GATE, NETWORK","RISK: HIGH: WS auth, confirm_id exposure control",CARRY: YES,"EVIDENCE: TOOL_CONFIRM_REQUEST/RESOLVED, OPENJARVIS_WS_TOKEN, bind_is_loopback, ws-cid-redact"
