Batch,Path,Status,Change,Purpose,Class,Security,Risk,Carry,Evidence
1,frontend/src/components/Desktop/hooks/useTauriApi.ts,M,Updated fallback API port to 8010,Port consistency fix,CONFIG,NETWORK,LOW: Port number change,YES,DESKTOP_API_FALLBACK = 8010
1,frontend/src/components/Layout.tsx,M,Removed overflow-hidden from main container,Layout adjustment,UI,NONE,LOW: CSS change,YES,overflow-hidden removed from main
1,frontend/src/components/SetupScreen.tsx,M,Simplified to single server_ready step,Removed ollama/model steps for remote mode,FEATURE,NETWORK,MEDIUM: Setup flow change,YES,"STEPS array, activeStep logic"
1,frontend/src/components/Sidebar/Sidebar.tsx,M,Removed deepResearch from model display,Clean up model selector,REFACTOR,NONE,LOW: UI simplification,YES,Removed deepResearch conditional
1,frontend/src/components/ThinkingCircle.tsx,A,Animated thinking indicator component,Visual feedback for processing,UI,NONE,LOW: New UI component,YES,"CSS animations, variant colors"
1,frontend/src/hooks/useSpeechStream.ts,A,WebSocket speech streaming hook,Real-time STT via WebSocket,FEATURE,"NETWORK,TOOL-EXECUTION",HIGH: New speech architecture,YES,"WebSocket, AudioWorklet, bargeIn"
1,frontend/src/index.css,M,Replaced research animations with Jarvis HUD,New animation system for thinking circle,UI,NONE,LOW: Animation replacement,YES,"jarvis-pulse, jarvis-spin-* keyframes"
1,frontend/src/lib/api.ts,M,"Major refactor: auth headers, TTS synthesis, confirmTool","Centralized auth, new TTS/confirm APIs",FEATURE,"AUTH,SECRETS,EXTERNAL-API",HIGH: API layer overhaul,YES,"getAuthHeaders, apiFetch, synthesizeSpeech, confirmTool"
1,frontend/src/lib/api.ts.broken_backup,A,Broken backup of old api.ts,Backup artifact,UNCLEAR,NONE,LOW: Corrupted backup,NO,Incomplete TypeScript file
1,frontend/src/lib/audioOutput.ts,A,Audio output device selection and persistence,Explicit sink selection for TTS,FEATURE,TOOL-EXECUTION,MEDIUM: New audio routing,YES,"setSinkId, enumerateDevices, saveSinkId"
1,frontend/src/lib/fix-tts-endpoint.ps1,A,PowerShell to fix Kokoro endpoint,Script to update speech route,CONFIG,EXTERNAL-API,LOW: Deployment script,NO,Replaces /synthesize with /synthesize-stream
1,frontend/src/lib/sse.ts,M,"Added auth headers, timeout, research agent_id","Auth integration, streaming improvements",FEATURE,"AUTH,NETWORK",MEDIUM: SSE auth and timeout,YES,"getAuthHeaders, AbortSignal.timeout"
1,frontend/src/lib/store.ts,M,"Removed deepResearch, liveEnergy, research fields",Simplified state for remote mode,REFACTOR,NONE,MEDIUM: State reduction,YES,"Removed deepResearch, liveEnergy, researchTraces"
1,frontend/src/lib/useAgentEvents.ts,M,Added subscribeAll for unfiltered events,Support confirmation events without agent filter,FEATURE,CONFIRMATION-GATE,MEDIUM: Event subscription change,YES,"subscribeAll parameter, buildWsUrl"
1,frontend/src/main.tsx,M,Removed analytics initialization,Removed PostHog analytics,SECURITY-FIX,NONE,LOW: Telemetry removal,YES,Removed initAnalytics call
1,frontend/src/pages/AgentsPage.tsx,M,Fixed tool call argument display,Handle object arguments in tool calls,BUGFIX,NONE,LOW: Display fix,YES,JSON.stringify for tool arguments
1,frontend/src/pages/ChatPage.tsx,M,Simplified to just ChatArea + SystemPanel,Removed extra imports,REFACTOR,NONE,LOW: Component simplification,YES,Removed unused imports
1,frontend/src/pages/DataSourcesPage.tsx,M,"Major simplification: removed gmail merge, sync details",Streamlined data source management,REFACTOR,NETWORK,MEDIUM: Feature removal,YES,"Removed GmailOAuthAdvanced, formatTimeAgo, metaFor"
2,frontend/src/pages/SettingsPage.tsx,M,"Added audio output device selection UI with real-time sink detection, removed Ollama model list and speech backend status, reorganized sections",Replace static Ollama model list with dynamic audio device picker that works without app restart; add live capability probe for setSinkId/enumerateDevices,FEATURE,NONE,"LOW: UI-only change, no backend impact",YES,"probeAudio, handleSinkChange, setOutputDevice, AudioOutputDevice type"
2,frontend/src/types/connectors.ts,M,Simplified SyncStatus by removing new_items_synced and oldest_item_date fields; updated Gmail connector setup steps with explicit 2FA and app password URLs,Streamline sync status payload; improve Gmail IMAP setup instructions with direct links to Google security pages,REFACTOR,NONE,LOW: Type definition changes only,YES,"SyncStatus interface, SOURCE_CATALOG gmail_imap steps"
2,frontend/src/types/index.ts,M,"Removed ResearchSource, TimeRange, ResearchSearchTrace, ResearchEvent, LiveEnergyMetrics; added revised ResearchSource, TimeRange, ResearchSearchTrace with cited field and timestamp; added attachments to ChatMessage",Redesign research-related types for new implementation; support file attachments in chat messages,REFACTOR,NONE,LOW: Type definitions only,YES,"ResearchSource, TimeRange, ResearchSearchTrace, ChatMessage.attachments"
2,frontend/update-verify.ps1,A,"PowerShell script to patch InputArea.tsx with agent field mapping (key->id, class->name, accepts_tools->acceptsTools) and verify via TypeScript compile",Automate one-time frontend fix for agent registration field mapping mismatch,INSTRUMENTATION,NONE,"LOW: Build-time script, not runtime",NO,"setManagedAgents mapping, npx tsc verification"
2,frontend/vite.config.ts,M,Removed VitePWA plugin; changed proxy target from port 8000 to 8010; added sourcemap: true to build,Disable PWA/offline support; align dev proxy with new server port 8010; enable sourcemaps for debugging,CONFIG,NONE,LOW: Dev server config only,YES,"proxy port 8010, sourcemap: true, VitePWA removed"
2,pyproject.toml,M,"Bumped version to 1.1.0; requires-python >=3.11; added kokoro, numpy, soundfile, nvidia-ml-py, croniter, pdfplumber, python-docx; updated speech extra with kokoro-onnx, ctranslate2, onnxruntime, av, sounddevice","Update dependencies for TTS (Kokoro), document processing, GPU monitoring via nvidia-ml-py, Python 3.11+ requirement",FEATURE,NONE,MEDIUM: New deps may have supply chain risk,YES,"kokoro, nvidia-ml-py, soundfile, speech extra deps"
2,rust/rebuild-openjarvis.ps1,A,PowerShell script to build openjarvis-traces crate and write config.yaml disabling traces and strict skill parsing,Post-build step for Rust traces crate; create default config with traces disabled,PLATFORM-WINDOWS,NONE,LOW: Build script only,NO,"cargo build --release -p openjarvis-traces, config.yaml generation"
2,scripts/bump-desktop-version.sh,M,File mode changed from 100755 to 100644 (executable bit removed),Remove executable permission from version bump script,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/bg-orchestrator.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/build-extension.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/install-rust.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/install.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/jarvis-uninstall.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/jarvis-wrapper.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/install/pull-model.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,scripts/quickstart.sh,M,Removed local Ollama install/start/pull; added remote OLLAMA_HOST (default 172.16.33.200:11434) and MODEL env vars; export runtime env for backend,Switch from local Ollama to remote Ollama-compatible host; simplify quickstart for lab environment,CONFIG,NETWORK,MEDIUM: Hardcoded remote host IP,REVIEW,"OLLAMA_HOST=172.16.33.200, MODEL=qwen3.5:9b, export OLLAMA_HOST"
2,scripts/smoke_framework_comparison.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,src/openjarvis/agents/hybrid/scripts/new_experiment.sh,M,File mode changed from 100755 to 100644,Remove executable permission,CONFIG,NONE,LOW: Permission change only,YES,mode change 100755->100644
2,src/openjarvis/agents/morning_digest.py,M,"Fixed encoding issues (em dashes); load TTS config from config.toml (backend, voice, speed) with fallback to instance attributes",Fix Unicode encoding in prompts; make TTS settings configurable via config.toml,BUGFIX,NONE,LOW: Config-driven TTS params,YES,"load_config, tts_cfg.backend/voice/speed, config.toml integration"
2,src/openjarvis/agents/native_openhands.py,M,"Added OpenHands XML tool call parsing, bare JSON tool call extraction, comprehensive agent logging (RUNSTART/TURN/RAWGEN/RUNEND) with contextvars for turn tracking",Support qwen3-coder XML tool calls and qwen2.5-coder JSON-in-content tool calls; add structured agent execution logging,FEATURE,TOOL-EXECUTION,MEDIUM: New parsing paths for tool calls,YES,"_extract_json_tool_call, OpenHands XML parsing, _oj_agent_logger, CURRENT_TURN_ID"
2,src/openjarvis/cli/agent_cmd.py,M,"Fixed status_style default to ""default"" instead of empty string; added status_label variable for rich formatting",Fix rich table rendering when agent status is unknown,BUGFIX,NONE,LOW: CLI display fix,YES,"status_style default, status_label formatting"
2,src/openjarvis/cli/ask.py,M,"Added TerminalConfirmGate class for interactive CLI confirmation (deny by default, requires y/yes, non-TTY denies, logs POLICY to dispatch.log and confirm_registry)",Replace auto-approve lambda with real human confirmation gate for CLI tool execution,SECURITY-FIX,"CONFIRMATION-GATE, TOOL-EXECUTION",HIGH: Changes tool approval flow for CLI,YES,"TerminalConfirmGate, _log POLICY, confirm_registry.resolve, _stubs.CURRENT_CONFIRM_ID"
2,src/openjarvis/cli/log_config.py,M,Added OPENJARVIS_LOG_LEVEL env var support (default WARNING); falls back to WARNING if invalid,Allow runtime log level control via environment variable,CONFIG,NONE,LOW: Logging config only,YES,"OPENJARVIS_LOG_LEVEL env var, logging.getLevelName"
2,src/openjarvis/cli/serve.py,M,Added WindowsSelectorEventLoopPolicy for Windows; file logging to rotating backend.log with TelemetryNoiseFilter dropping /v1/telemetry/* access logs; debug logging for tool registry; openjarvis-confirm-live-v1 gate for chat agent; bind assertion logging; uvicorn Config with log_config=None,Fix Windows event loop blocking on console; reduce log volume; add interactive confirmation for server chat path; audit bind posture,PLATFORM-WINDOWS,"NETWORK, CONFIRMATION-GATE","HIGH: Changes server logging, event loop, and tool confirmation",YES,"WindowsSelectorEventLoopPolicy, _TelemetryNoiseFilter, _server_confirm_callback, BIND_ASSERT, record_bind"
2,src/openjarvis/connectors/imap_mail.py,A,"New provider-agnostic IMAP mail connector (Yahoo, Gmail, generic) with folder enumeration, size-aware summaries, UID-based move-to-trash/empty-folder (dry-run default), usage reports, find_messages, sync ingestion",Replace read-only gmail_imap with full-featured IMAP connector supporting mutations and multi-folder access,FEATURE,"NETWORK, FILESYSTEM-WRITE","HIGH: IMAP mutation capabilities (delete/move), network auth",YES,"ImapMailConnector, move_to_trash, empty_folder, usage_report, _fetch_summaries, PROVIDERS dict"
2,src/openjarvis/core/config.py,M,"Changed model tier fallback from qwen3.5:27b to qwen3.5:9b; updated engine defaults (vllm, uzu, lemonade) from port 8000 to 8010; server port 8000->8010, default agent orchestrator->native_openhands; speech compute_type auto; config.toml template updated",Align default ports to 8010; switch default agent; make speech compute_type hardware-auto; smaller fallback model,CONFIG,NETWORK,MEDIUM: Port changes affect all deployments,YES,"port 8010, native_openhands, compute_type=auto, _MODEL_TIER_FALLBACK"
2,src/openjarvis/core/confirm_registry.py,A,New thread-safe confirmation registry with register/wait/resolve/get/reap/pending_count/clear; write-once decisions (approved/denied/timeout); TTL via env var; threading.Event for cross-thread sync,"Correlation store for interactive tool confirmation across CLI, server, and WS paths",SECURITY-FIX,CONFIRMATION-GATE,HIGH: Core security infrastructure for tool approval,YES,"register, wait, resolve, _Pending, APPROVED/DENIED/TIMEOUT, threading.Lock"
2,src/openjarvis/core/events.py,M,Added TOOL_CONFIRM_REQUEST and TOOL_CONFIRM_RESOLVED event types,Event bus support for tool confirmation lifecycle,FEATURE,CONFIRMATION-GATE,LOW: Event type definitions only,YES,"EventType.TOOL_CONFIRM_REQUEST, EventType.TOOL_CONFIRM_RESOLVED"
2,src/openjarvis/engine/multi.py,M,Improved cloud model routing: explicit error when cloud model requested but no cloud engine; better error for local model not found; handle empty engine list,Fix silent fallback to cloud engine; provide actionable errors for missing models/engines,BUGFIX,NETWORK,MEDIUM: Changes model routing behavior,YES,"_engine_for, _CLOUD_PREFIXES, ValueError messages"
2,src/openjarvis/engine/ollama.py,M,"Replaced hardcoded num_ctx=8192 with _oj_default_num_ctx() resolving from OPENJARVIS_NUM_CTX env, config.toml [engine] num_ctx, or 8192; added retry400 diagnostic logging for tool call 400 errors",Make num_ctx configurable; diagnose 400 errors when tools cause model rejection,CONFIG,NONE,"LOW: Configurable context window, diagnostic logging",YES,"_oj_default_num_ctx, _oj_log_retry400, OPENJARVIS_NUM_CTX env"
2,src/openjarvis/server/agent_manager_routes.py,M,"Added memory_backend to _LightweightSystem; inject_context with KnowledgeStore for managed agent streams; toolkit binding enforcement (_allowed_tool_names); ConfirmPolicy for deep_research, iMessage, SendBlue; MCP tool discovery",Wire memory into managed agents; enforce tool allowlist per agent; replace auto-approve with ConfirmPolicy; support MCP tools,FEATURE,"TOOL-EXECUTION, CONFIRMATION-GATE",HIGH: Tool execution policy changes for managed agents,YES,"_allowed_tool_names, ConfirmPolicy, inject_context, _make_lightweight_system memory_backend"
2,src/openjarvis/server/api_routes.py,M,"Added inject_context with KnowledgeStore to websocket_chat_stream; import Message, Role, ContextConfig",Enable memory retrieval for WebSocket chat path,FEATURE,NONE,LOW: Adds context injection to WS chat,YES,"inject_context, KnowledgeStore, ContextConfig, websocket_chat_stream"
2,src/openjarvis/server/app.py,M,Added speech_router; disabled AuthMiddleware (if False); SPA catch-all returns 404 for /v1/* and /api/* paths,Mount speech endpoints; disable API key auth for lab; prevent SPA from masking API 404s,CONFIG,"AUTH, CORS-CSP","HIGH: Auth disabled, API route protection",REVIEW,"speech_router, if False AuthMiddleware, SPA catch-all 404 check"
2,src/openjarvis/server/auth_middleware.py,M,Added bind_is_loopback() and record_bind() to track and expose bind posture; BIND-ASSERT logging,Record runtime bind address for WS confirm_id redaction logic,SECURITY-FIX,"NETWORK, CONFIRMATION-GATE",MEDIUM: Bind posture affects security decisions,YES,"record_bind, bind_is_loopback, _BIND_IS_LOOPBACK, BIND-ASSERT log"
2,src/openjarvis/server/cloud_router.py,M,Added OpenRouter retry logic with 429 backoff (5/10/20s); added HTTP-Referer and X-Title headers; _ollama_host() now raises if OLLAMA_HOST not set; debug prints for model strings,Handle OpenRouter rate limits; require explicit OLLAMA_HOST config; debug model routing,FEATURE,"NETWORK, EXTERNAL-API","MEDIUM: Cloud API retry behavior, required env var",YES,"_retry_delays, 429 handling, _ollama_host RuntimeError, debug prints"
2,src/openjarvis/server/connectors_router.py,M,Added Request import (unused in diff),UNKNOWN,UNCLEAR,NONE,LOW: Import only,YES,from fastapi import Request
2,src/openjarvis/server/digest_routes.py,M,Fixed encoding; get_digest returns empty structure instead of 404 when no digest exists,Graceful empty state for digest endpoint,BUGFIX,NONE,LOW: API response shape change,YES,"get_digest empty return, encoding fix"
2,src/openjarvis/server/middleware.py,M,"Updated Permissions-Policy to allow microphone=(self); expanded CSP with img-src, font-src, media-src directives",Allow microphone access for webview; tighten CSP for media/font/image sources,SECURITY-FIX,CORS-CSP,MEDIUM: CSP/Permissions-Policy changes,YES,"microphone=(self), img-src data: blob:, font-src data:, media-src blob: data:"
2,src/openjarvis/server/models.py,M,Added optional agent field to ChatCompletionRequest,Allow specifying agent in chat completion requests,FEATURE,NONE,LOW: Request model extension,YES,ChatCompletionRequest.agent field
2,src/openjarvis/server/routes.py,M,Added cloud model bypass for agent path (routes cloud models to _handle_stream); offloaded _handle_agent and _handle_direct to asyncio.to_thread to prevent event loop blocking,Fix cloud model routing in agent path; prevent sync handlers from blocking event loop,BUGFIX,NETWORK,"HIGH: Concurrency model change, cloud routing logic",YES,"is_cloud_model check, asyncio.to_thread, _handle_stream bypass"
2,src/openjarvis/server/serve.py,A,Empty file (placeholder),UNKNOWN,UNCLEAR,NONE,LOW: Empty file,YES,empty file
2,src/openjarvis/server/speech_router.py,A,"New speech router with /transcribe (faster-whisper), /synthesize (remote Kokoro on 172.16.33.201:8880), /health, and WebSocket /stream with Silero VAD + Whisper streaming",Provide STT/TTS endpoints; remote Kokoro TTS; real-time streaming transcription,FEATURE,"NETWORK, EXTERNAL-API, FILESYSTEM-WRITE","HIGH: Audio upload, remote TTS, WS streaming, debug file writes",REVIEW,"transcribe, synthesize, speech_stream_ws, KOKORO_SERVER, _get_whisper, audio_debug dump"
2,src/openjarvis/server/stream_bridge.py,M,Disabled real LLM token streaming (if False) in AgentStreamBridge,Temporarily disable engine.stream_full streaming path,BUGFIX,NONE,LOW: Streaming behavior toggle,YES,if False and engine.stream_full
2,src/openjarvis/server/upload_router.py,M,"Rewrote to use memory_backend from app.state; added zip extraction, image/video support with base64 encoding; removed KnowledgeStore direct usage","Route uploads through shared memory backend; support archives, images, videos",FEATURE,"FILESYSTEM-WRITE, NETWORK","HIGH: File upload processing, zip bomb protection, base64 storage",YES,"_get_memory_backend, _extract_text_from_zip, _process_image, _process_video, base64 encoding"
2,src/openjarvis/server/ws_bridge.py,M,Added TOOL_CONFIRM events to _AGENT_EVENTS; WS auth via OPENJARVIS_WS_TOKEN; confirm_id redaction based on bind_is_loopback; detailed accept logging,Stream tool confirmation events; secure WS with token; redact confirm_id on non-loopback binds,SECURITY-FIX,"CONFIRMATION-GATE, NETWORK","HIGH: WS auth, confirm_id exposure control",YES,"TOOL_CONFIRM_REQUEST/RESOLVED, OPENJARVIS_WS_TOKEN, bind_is_loopback, ws-cid-redact"
2,src/openjarvis/speech/faster_whisper.py,M,"Fixed Windows temp file locking: use delete=False, close before transcribe, manual unlink in finally",Fix faster-whisper on Windows where NamedTemporaryFile holds exclusive lock,PLATFORM-WINDOWS,NONE,LOW: Windows-specific fix,YES,"NamedTemporaryFile delete=False, tmp.close(), os.unlink"
2,src/openjarvis/telemetry/gpu_monitor.py,M,Added warnings filter for pynvml FutureWarning; moved pynvml import inside try block,Suppress pynvml deprecation warning; fix import structure,BUGFIX,NONE,LOW: Warning suppression,YES,"warnings.filterwarnings, pynvml import in try"
2,src/openjarvis/tools/__init__.py,M,Added mailbox_tools import,Register mailbox tools (from imap_mail connector),INTEGRATION,NONE,LOW: Tool registration,YES,import openjarvis.tools.mailbox_tools
2,src/openjarvis/tools/_stubs.py,M,"Added needs_confirmation hook to BaseTool; dispatch logging (ATTEMPT/OUTCOME) with contextvars CURRENT_TURN_ID, CURRENT_CONFIRM_ID; ConfirmPolicy class for attributed auto-approve; arg-aware gating; confirm_registry integration; tool timeout outcome UNKNOWN",Structured tool dispatch logging; per-call confirmation gating; replace invisible auto-approve with auditable ConfirmPolicy,SECURITY-FIX,"CONFIRMATION-GATE, TOOL-EXECUTION",HIGH: Core tool execution policy changes,YES,"needs_confirmation, _get_dispatch_logger, ConfirmPolicy, CURRENT_TURN_ID, CURRENT_CONFIRM_ID, confirm_registry"
2,src/openjarvis/tools/knowledge_sql.py,M,Replaced text blacklist with SQLite authorizer callback allowing only knowledge_chunks table; added threading lock for authorizer install/clear; byte-limited output; widened exception catch to DatabaseError,Fix SQL injection scope bypass (sqlite_master access); enforce table-level authorization via SQLite authorizer,SECURITY-FIX,TOOL-EXECUTION,HIGH: SQL execution security boundary,YES,"_authorizer, _AUTHORIZER_LOCK, set_authorizer, _ALLOWED_TABLE, sqlite3.SQLITE_DENY"
3,src/openjarvis/tools/mailbox_tools.py,A,"New mailbox tool layer with 5 tools: list_accounts, usage_report, find_messages, move_to_trash, empty_folder","Agent-callable IMAP mailbox operations with dry-run/defaults, confirmation interlock, protected-sender guard",FEATURE,"FILESYSTEM-WRITE,TOOL-EXECUTION,CONFIRMATION-GATE",MEDIUM: Destructive mail ops with human confirmation gate,YES,"MailboxMoveToTrashTool, MailboxEmptyFolderTool, _confirmed, _load_protected_senders"
3,src/openjarvis/tools/shell_exec.py,M,Added utf-8 encoding and errors=replace to subprocess.run,Handle non-UTF8 command output safely,BUGFIX,NONE,LOW: Encoding fix prevents decode crashes,YES,subprocess.run encoding errors replace
3,src/openjarvis/tools/storage/sqlite.py,M,Added FTS5 query sanitizer _fts_sanitize; use it in retrieve,Strip FTS5 syntax chars before BM25 search,BUGFIX,NONE,LOW: Prevents FTS5 parse errors on special chars,YES,"_fts_sanitize, retrieve"
3,src/openjarvis/traces/__init__.py,M,"Removed TraceAnalyzer, TraceCollector exports; only TraceStore remains",Simplify trace module public API,REFACTOR,NONE,"LOW: API reduction, no behavior change",YES,TraceStore only export
3,src/openjarvis/traces/store.py,M,Replaced SQLite TraceStore with Rust backend wrapper; fallback no-op,Migrate trace storage to Rust implementation,PLATFORM-WINDOWS,NONE,MEDIUM: Rust dependency; fallback may hide failures,REVIEW,"RustTraceStore, fallback class"
